labels,data
2/12/2022,0.55
5/7/2021,0.56
8/28/2021,0.56
6/23/2021,0.57
11/18/2021,0.58
2/26/2022,0.58
1/3/2022,0.58
1/7/2021,0.58
8/21/2021,0.59
3/1/2021,0.59
2/11/2022,0.59
8/17/2021,0.62
3/1/2021,0.62
12/17/2020,0.62
7/20/2021,0.64
11/8/2021,0.64
2/22/2022,0.64
7/21/2021,0.64
2/27/2021,0.64
3/19/2022,0.65
3/30/2021,0.65
10/8/2021,0.65
10/12/2021,0.66
2/24/2022,0.66
10/5/2021,0.66
8/16/2021,0.66
12/13/2021,0.68
4/20/2021,0.69
10/28/2021,0.7
10/5/2021,0.7
8/21/2021,0.71
9/24/2021,0.71
7/7/2021,0.71
9/28/2021,0.71
5/14/2021,0.72
10/20/2021,0.73
11/10/2021,0.76
3/19/2021,0.77
10/22/2021,0.78
12/16/2021,0.79
12/20/2021,0.81
8/17/2021,0.83
8/19/2021,0.84
10/26/2021,0.84
9/2/2021,0.84
11/27/2020,0.85
2/25/2021,0.87
8/11/2021,0.87
5/1/2021,0.88
12/29/2021,0.88
12/15/2021,0.88
5/20/2021,0.88
4/6/2021,0.9
2/11/2022,0.91
6/16/2021,0.91
1/24/2021,0.93
6/15/2021,0.93
9/16/2021,0.94
5/23/2021,0.94
11/22/2021,0.94
2/9/2022,0.95
2/24/2021,0.95
11/20/2020,0.97
2/24/2021,0.97
10/25/2021,1
1/7/2022,1
1/30/2022,1
3/8/2022,1
11/19/2021,1
12/9/2021,1
9/25/2021,1
7/13/2021,1.1
4/15/2021,1.1
5/24/2021,1.1
2/23/2022,1.1
3/1/2022,1.1
6/18/2021,1.1
10/7/2021,1.1
2/26/2021,1.1
11/9/2021,1.1
1/25/2021,1.1
4/23/2021,1.1
1/11/2021,1.1
9/3/2021,1.1
9/28/2021,1.2
12/22/2021,1.2
11/17/2021,1.2
1/12/2022,1.2
10/22/2021,1.2
1/4/2022,1.2
9/30/2021,1.2
11/15/2021,1.2
10/28/2021,1.2
4/14/2021,1.2
1/14/2022,1.2
3/29/2021,1.2
5/7/2021,1.2
11/9/2021,1.2
6/18/2021,1.3
11/13/2021,1.3
12/3/2021,1.3
6/22/2021,1.3
12/7/2021,1.3
1/19/2022,1.3
12/4/2020,1.4
12/14/2021,1.4
9/22/2021,1.4
3/2/2022,1.4
5/26/2021,1.4
8/1/2021,1.4
2/12/2022,1.4
3/17/2022,1.4
9/9/2021,1.4
3/26/2021,1.4
7/21/2021,1.4
9/17/2021,1.4
1/15/2021,1.5
3/5/2021,1.5
3/11/2022,1.5
12/30/2021,1.5
11/30/2021,1.5
11/11/2021,1.5
2/8/2022,1.5
10/11/2021,1.6
12/8/2021,1.6
10/23/2021,1.6
8/16/2021,1.7
1/20/2022,1.7
12/16/2021,1.7
9/1/2021,1.8
8/17/2021,1.9
12/10/2021,1.9
9/2/2021,1.9
7/13/2021,2
7/9/2021,2.1
2/18/2022,2.2
9/18/2021,2.2
11/23/2020,2.2
7/18/2021,2.2
10/27/2021,2.3
12/7/2021,2.4
8/25/2021,2.5
6/19/2021,2.5
10/23/2021,2.5
11/12/2021,2.5
9/7/2021,2.5
7/27/2021,2.5
9/25/2021,2.6
2/5/2022,2.6
10/21/2021,2.6
1/4/2022,2.7
3/24/2021,2.7
10/16/2021,2.7
12/15/2021,2.7
11/13/2021,2.8
2/4/2021,2.8
3/23/2021,2.8
1/13/2022,2.9
8/6/2021,3
9/16/2021,3
10/20/2021,3
2/9/2022,3
10/28/2021,3.1
10/23/2021,3.3
1/21/2022,3.3
10/19/2021,3.3
3/11/2022,3.5
8/5/2021,3.5
1/18/2022,3.8
